Q0045 YGL187c
Q0085 YPL078c
Q0275 YER154w
YAL001c YDR362c
YAL002w YDL049c
YAL002w YGR078c
YAL002w YLR200w
YAL002w YLR418c
YAL002w YML094w
YAL002w YOR089c
YAL003w YBR118w
YAL003w YPR080w
YAL004w YML109w
YAL005c YAL040c
YAL005c YER151c
YAL005c YLR310c
YAL005c YNL064c
YAL005c YNL189w
YAL005c YPL240c
YAL009w YDL116w
YAL009w YGL100w
YAL009w YHR004c
YAL009w YKL057c
YAL011w YDL181w
YAL011w YEL003w
YAL011w YER081w
YAL011w YGR078c
YAL011w YHR158c
YAL011w YIR018w
YAL011w YJL168c
YAL011w YLR200w
YAL011w YLR262c
YAL011w YML094w
YAL011w YML124c
YAL011w YMR263w
YAL011w YOR127w
YAL011w YOR269w
YAL011w YPL181w
YAL012w YJR091c
YAL012w YMR101c
YAL013w YBL027w
YAL013w YBR103w
YAL013w YCR009c
YAL013w YCR033w
YAL013w YDL029w
YAL013w YDL074c
YAL013w YDL080c
YAL013w YDR181c
YAL013w YDR363w-a
YAL013w YDR485c
YAL013w YER016w
YAL013w YFR010w
YAL013w YGL127c
YAL013w YGL133w
YAL013w YGL149w
YAL013w YGL161c
YAL013w YGL167c
YAL013w YGL244w
YAL013w YGR105w
YAL013w YGR181w
YAL013w YGR182c
YAL013w YGR200c
YAL013w YGR270w
YAL013w YHR041c
YAL013w YHR060w
YAL013w YHR200w
YAL013w YJL115w
YAL013w YJL168c
YAL013w YJR140c
YAL013w YKL118w
YAL013w YKR029c
YAL013w YLR055c
YAL013w YLR087c
YAL013w YLR268w
YAL013w YLR384c
YAL013w YML047c
YAL013w YMR060c
YAL013w YMR312w
YAL013w YNL140c
YAL013w YNL192w
YAL013w YNL250w
YAL013w YNL298w
YAL013w YOL012c
YAL013w YOR123c
YAL013w YOR213c
YAL013w YOR304w
YAL013w YPL055c
YAL013w YPL102c
YAL013w YPL174c
YAL013w YPR023c
YAL014c YAL030w
YAL014c YIL034c
YAL014c YOR036w
YAL016w YCR066w
YAL016w YDL134c
YAL016w YNL127w
YAL016w YOR014w
YAL019w YJL124c
YAL019w YLR262c
YAL020c YNL271c
YAL021c YDL160c
YAL021c YGR092w
YAL021c YGR116w
YAL021c YLR150w
YAL021c YML032c
YAL022c YGL132w
YAL023c YDL095w
YAL023c YJR143c
YAL023c YKL190w
YAL023c YLR039c
YAL023c YOR002w
YAL023c YOR321w
YAL024c YAR019c
YAL024c YCL016c
YAL024c YDR150w
YAL024c YGR152c
YAL024c YIL106w
YAL024c YIR009w
YAL024c YKR054c
YAL024c YLR103c
YAL024c YLR229c
YAL024c YML064c
YAL024c YMR263w
YAL024c YNL098c
YAL024c YOR101w
YAL024c YPR141c
YAL025c YHR066w
YAL025c YJR044c
YAL026c YGR078c
YAL026c YKL079w
YAL026c YKL190w
YAL026c YLR039c
YAL026c YML094w
YAL026c YNL271c
YAL026c YNL322c
YAL028w YDL239c
YAL028w YLR233c
YAL029c YFL039c
YAL030w YDR468c
YAL030w YGR009c
YAL030w YOR327c
YAL030w YPL232w
YAL032c YDR416w
YAL032c YLR338w
YAL032c YLR345w
YAL032c YLR423c
YAL032c YNL189w
YAL032c YPL151c
YAL033w YJR115w
YAL034w-a YGL172w
YAL034w-a YGR120c
YAL034w-a YJR091c
YAL034w-a YKL103c
YAL035w YDL220c
YAL035w YLR241w
YAL035w YMR260c
YAL036c YCR038c
YAL036c YDL065c
YAL036c YGR250c
YAL036c YNR022c
YAL038w YOR226c
YAL040c YBL016w
YAL040c YBR160w
YAL040c YFR040w
YAL040c YKR028w
YAL040c YLL024c
YAL040c YMR199w
YAL040c YPL256c
YAL041w YBR200w
YAL041w YDR264c
YAL041w YER155c
YAL041w YGL052w
YAL041w YGL233w
YAL041w YGR152c
YAL041w YGR221c
YAL041w YHL007c
YAL041w YIL079c
YAL041w YJL187c
YAL041w YLR229c
YAL041w YPL161c
YAL042w YDL239c
YAL042w YML067c
YAL043c YDR301w
YAL043c YDR311w
YAL043c YJR093c
YAL043c YLR115w
YAL043c YLR277c
YAL043c YMR182c
YAL045c YJR063w
YAL047c YEL061c
YAL047c YGL212w
YAL047c YHR158c
YAL047c YHR172w
YAL047c YIL061c
YAL047c YJL113w
YAL047c YJL114w
YAL047c YLR429w
YAL047c YNL126w
YAL049c YNL094w
YAL051w YOR363c
YAL053w YMR307w
YAL054c YLR049c
YAL054c YLR153c
YAL056c-a YNL322c
YAL056w YER020w
YAL058w YGL084c
YAL058w YKL194c
YAL058w YNL171c
YAL058w YNL322c
YAL058w YNR036c
YAL062w YLR267w
YAL062w YNL189w
YAL064w YHR114w
YAL064w YMR149w
YAL064w-b YPR126c
YAL066w YJR091c
YAL067c YGR055w
YAR002c-a YJR091c
YAR002w YMR078c
YAR002w YNL250w
YAR002w YNL273w
YAR002w YPR135w
YAR003w YBR175w
YAR003w YDR140w
YAR003w YDR363w
YAR003w YER081w
YAR003w YNL250w
YAR007c YML032c
YAR007c YNL312w
YAR007c YPL022w
YAR008w YBL051c
YAR008w YLR105c
YAR008w YMR059w
YAR008w YPL083c
YAR009c YHL002w
YAR009c YNL118c
YAR014c YDR195w
YAR014c YER133w
YAR014c YER158c
YAR014c YGR078c
YAR014c YIL045w
YAR014c YLR039c
YAR014c YNL322c
YAR014c YNL333w
YAR014c YOL154w
YAR014c YPR141c
YAR018c YDL239c
YAR019c YGL116w
YAR019c YGR092w
YAR019c YLR079w
YAR019c YML064c
YAR019c YOR101w
YAR019c YPR111w
YAR027w YAR030c
YAR027w YBR135w
YAR030c YJR091c
YAR031w YBR217w
YAR031w YCR030c
YAR035w YGR069w
YAR035w YLR295c
YAR035w YLR381w
YAR035w YLR447c
YAR042w YMR047c
YAR047c YJR063w
YAR061w YJR086w
YAR066w YMR047c
YAR071w YLR453c
YBL001c YDR510w
YBL001c YER067w
YBL001c YNL189w
YBL001c YPL068c
YBL002w YCL066w
YBL002w YCR040w
YBL007c YBL061c
YBL007c YBR023c
YBL007c YBR205w
YBL007c YCR009c
YBL007c YCR088w
YBL007c YEL003w
YBL007c YGR268c
YBL007c YHR142w
YBL007c YJL004c
YBL007c YJL151c
YBL007c YJR075w
YBL007c YKL079w
YBL007c YKR030w
YBL007c YLR078c
YBL007c YLR200w
YBL007c YLR342w
YBL007c YML094w
YBL007c YMR253c
YBL007c YNL153c
YBL007c YNL238w
YBL007c YNL271c
YBL007c YOR181w
YBL007c YOR284w
YBL007c YPR135w
YBL007c YPR171w
YBL008w YGR063c
