Q0085 YPL078c
YAL001c YDR362c
YAL001c YGR246c
YAL002w YDL049c
YAL002w YOR089c
YAL003w YKL081w
YAL005c YAL040c
YAL005c YJL061w
YAL005c YLR200w
YAL009w YKL057c
YAL011w YEL003w
YAL011w YHR158c
YAL011w YIR018w
YAL011w YLR200w
YAL011w YML094w
YAL012w YMR101c
YAL013w YBL027w
YAL013w YBR103w
YAL013w YCR009c
YAL013w YCR033w
YAL013w YDL080c
YAL013w YDR181c
YAL013w YDR363w-a
YAL013w YDR388w
YAL013w YDR392w
YAL013w YDR485c
YAL013w YER016w
YAL013w YGL127c
YAL013w YGR105w
YAL013w YGR200c
YAL013w YGR270w
YAL013w YHR178w
YAL013w YJL115w
YAL013w YLR085c
YAL013w YLR384c
YAL013w YMR312w
YAL013w YNL298w
YAL013w YOL012c
YAL013w YOR123c
YAL013w YOR213c
YAL013w YPL086c
YAL013w YPL101w
YAL013w YPL174c
YAL013w YPR023c
YAL014c YIL034c
YAL014c YMR197c
YAL016w YOR014w
YAL019w YLR039c
YAL022c YGL132w
YAL024c YDR150w
YAL024c YGR152c
YAL024c YHR152w
YAL024c YIR009w
YAL024c YKR054c
YAL024c YLR103c
YAL024c YLR229c
YAL024c YOR101w
YAL025c YHR066w
YAL026c YGR078c
YAL026c YPL048w
YAL031c YCL027w
YAL032c YLR423c
YAL032c YNL189w
YAL036c YGR250c
YAL038w YNL307c
YAL040c YBL016w
YAL040c YKL092c
YAL040c YPL256c
YAL041w YDR264c
YAL041w YHL007c
YAL041w YIL079c
YAL041w YJL157c
YAL041w YKL080w
YAL041w YKL130c
YAL041w YLR206w
YAL041w YLR229c
YAL041w YOR188w
YAL041w YOR212w
YAL042w YDL239c
YAL043c YDR301w
YAL043c YMR182c
YAL043c YPR107c
YAL047c YEL061c
YAL047c YGL212w
YAL047c YIL061c
YAL047c YJL114w
YAL047c YLR045c
YAL047c YNL126w
YAL054c YLR153c
YAL058w YNL171c
YAL060w YER081w
YAL064w-b YPR126c
YAR002w YDR363w
YAR002w YMR078c
YAR002w YPR135w
YAR003w YDR140w
YAR003w YER081w
YAR003w YNL250w
YAR007c YJL173c
YAR007c YNL312w
YAR007c YPL022w
YAR008w YBL051c
YAR008w YJR091c
YAR008w YMR059w
YAR008w YPL083c
YAR009c YNL118c
YAR014c YLR262c
YAR014c YMR071c
YAR014c YNL322c
YAR018c YBL106c
YAR019c YFR028c
YAR019c YGR152c
YAR019c YHR152w
YAR019c YOR101w
YAR031w YJR091c
YAR035w YGR069w
YAR035w YLR295c
YAR035w YLR447c
YAR061w YMR182c
YAR069c YPL215w
YBL001c YDR510w
YBL001c YER067w
YBL002w YCR040w
YBL007c YBR023c
YBL007c YCR009c
YBL007c YEL003w
YBL007c YGL104c
YBL007c YGR229c
YBL007c YGR268c
YBL007c YHR016c
YBL007c YIR006c
YBL007c YJL004c
YBL007c YKL079w
YBL007c YLR064w
YBL007c YLR078c
YBL007c YLR200w
YBL007c YPL246c
YBL008w YDL017w
YBL008w YOR038c
YBL014c YML043c
YBL014c YOR158w
YBL016w YDL159w
YBL016w YDR469w
YBL016w YDR480w
YBL016w YJL157c
YBL022c YDR086c
YBL023c YDR052c
YBL024w YNL153c
YBL025w YGR166w
YBL025w YHR200w
YBL025w YIL141w
YBL026w YCR020c-a
YBL026w YCR066w
YBL026w YDL175c
YBL026w YER025w
YBL026w YGL185c
YBL026w YIL048w
YBL026w YJR022w
YBL026w YLR128w
YBL026w YMR207c
YBL026w YOR043w
YBL026w YPL115c
YBL026w YPL119c
YBL026w YPR032w
YBL031w YGL216w
YBL033c YPR172w
YBL034c YML085c
YBL037w YNL118c
YBL040c YCR067c
YBL042c YER021w
YBL042c YLR039c
YBL043w YDR099w
YBL044w YJL159w
YBL045c YLR090w
YBL045c YNL118c
YBL046w YNL201c
YBL050w YBR080c
YBL050w YDR468c
YBL050w YKR068c
YBL050w YOL018c
YBL050w YOR106w
YBL051c YIL151c
YBL051c YKR096w
YBL053w YEL069c
YBL053w YPR165w
YBL056w YOR020c
YBL061c YBL067c
YBL061c YBL072c
YBL061c YDL029w
YBL061c YDR129c
YBL061c YDR245w
YBL061c YDR388w
YBL061c YER111c
YBL061c YFL036w
YBL061c YGR229c
YBL061c YHR107c
YBL061c YIL007c
YBL061c YJL095w
YBL061c YLR337c
YBL061c YLR342w
YBL061c YLR370c
YBL061c YMR089c
YBL061c YNL233w
YBL061c YOR326w
YBL062w YBR234c
YBL066c YDR099w
YBL066c YML091c
YBL068w YOL061w
YBL069w YGL008c
YBL071c YNL261w
YBL072c YLR140w
YBL072c YMR047c
YBL075c YLR310c
YBL078c YHR171w
YBL078c YOL083w
YBL079w YER105c
YBL082c YNL322c
YBL083c YLR262c
YBL083c YNL322c
YBL084c YDR118w
YBL084c YFR036w
YBL084c YLR127c
YBL084c YNL172w
YBL085w YHL007c
YBL086c YJR040w
YBL086c YLR322w
YBL092w YDR026c
YBL093c YMR109w
YBL094c YMR047c
YBL098w YDL226c
YBL099w YDR322c-a
YBL100w-a YNL229c
YBL101c YJL203w
YBL101c YLR330w
YBL102w YFL058w
YBL102w YLR026c
YBL105c YBR045c
YBL105c YDL160c
YBL105c YDR436w
YBL105c YER165w
YBL105c YGL178w
YBL105c YGR221c
YBL105c YGR238c
YBL105c YHR030c
YBL105c YKL203c
YBL105c YLR150w
YBL105c YLR305c
YBL105c YLR342w
YBL105c YPL084w
YBL106c YGR009c
YBL106c YHR023w
YBL106c YLR206w
YBL106c YLR423c
YBL107c YML116w
YBL109w YHR114w
YBR003w YER022w
YBR009c YBR010w
YBR009c YGR116w
YBR009c YNL031c
YBR010w YGR116w
YBR012w-b YLR116w
YBR012w-b YLR157c-a
YBR012w-b YLR373c
YBR014c YBR101c
YBR015c YBR023c
YBR017c YDR192c
YBR017c YGL172w
YBR017c YGR119c
YBR017c YNR069c
YBR017c YOR098c
YBR020w YER081w
YBR021w YEL021w
YBR023c YBR077c
YBR023c YDL033c
YBR023c YDL223c
YBR023c YDR245w
YBR023c YFR019w
YBR023c YGR135w
YBR023c YGR229c
YBR023c YKL041w
YBR023c YLL039c
YBR023c YLR087c
YBR023c YLR110c
YBR023c YLR111w
YBR023c YLR338w
YBR023c YLR342w
YBR023c YML115c
YBR023c YMR060c
YBR023c YNL171c
YBR023c YNL271c
YBR023c YNL298w
YBR023c YOR326w
YBR023c YPL069c
YBR024w YBR037c
YBR025c YNL207w
YBR027c YLR353w
YBR028c YLR447c
YBR034c YDR249c
YBR034c YGR165w
YBR034c YGR181w
YBR034c YIL061c
YBR034c YNL078w
YBR036c YBR265w
YBR036c YOL004w
YBR036c YOR070c
YBR036c YPL231w
YBR037c YLL009c
YBR038w YPL020c
YBR039w YPR024w
YBR041w YDL153c
YBR041w YGR229c
YBR044c YJR022w
YBR044c YKL148c
YBR045c YER054c
YBR047w YJL128c
YBR048w YDR450w
YBR050c YDR477w
YBR050c YER133w
YBR052c YDR032c
YBR055c YDR028c
YBR055c YPR082c
YBR057c YDR206w
YBR057c YGR166w
YBR057c YPR141c
YBR058c YOL059w
YBR058c YOL064c
YBR058c YOL113w
YBR060c YDL017w
YBR060c YLR103c
YBR061c YGR195w
YBR061c YHR022c
YBR061c YJL097w
YBR061c YJL166w
YBR065c YER081w
YBR066c YJR091c
YBR069c YOL109w
YBR072w YDL239c
YBR072w YPL169c
YBR073w YER179w
YBR073w YLR453c
YBR074w YMR083w
YBR076w YLR418c
YBR078w YHR030c
YBR079c YNL243w
YBR081c YDR145w
YBR081c YDR167w
YBR081c YGR252w
YBR081c YLR055c
YBR081c YOL148c
YBR082c YDR177w
YBR082c YLR342w
YBR082c YMR078c
YBR083w YHR084w
YBR083w YKL043w
YBR087w YDR328c
YBR087w YJR068w
YBR088c YJR043c
YBR090c YER158c
YBR091c YEL020w-a
YBR091c YHR005c-a
YBR094w YBR194w
YBR094w YDL162c
YBR094w YER041w
YBR094w YGL127c
YBR094w YJR043c
YBR094w YLR373c
YBR094w YNL297c
YBR095c YER016w
YBR097w YBR288c
YBR098w YDL102w
YBR098w YJL092w
YBR098w YJR057w
YBR098w YLR103c
YBR098w YLR235c
YBR098w YMR190c
YBR098w YOL006c
YBR098w YPL024w
YBR099c YDR363w
YBR099c YJR063w
YBR099c YOR144c
YBR101c YHL021c
YBR103w YDR227w
YBR103w YEL003w
YBR103w YGL023c
YBR103w YIL112w
YBR103w YJL168c
YBR103w YJR141w
YBR103w YML094w
YBR103w YPR141c
YBR106w YGL070c
YBR107c YDR254w
YBR107c YEL061c
YBR107c YER081w
YBR107c YML094w
YBR107c YPL018w
