*********************************************************
总结点个数:4546
总边数12319
*********************************************************
编号	节点	度
0	YJR091c	286
1	YLR200w	166
2	YGR078c	159
3	YML094w	159
4	YNL189w	145
5	YLR262c	140
6	YLR039c	138
7	YEL003w	132
8	YNL153c	131
9	YMR047c	130
10	YLR295c	125
11	YLR418c	111
12	YHR114w	110
13	YER016w	109
14	YPR135w	108
15	YPR086w	103
16	YER022w	101
17	YLR103c	97
18	YER081w	95
19	YLR447c	93
20	YNL298w	91
21	YLR288c	88
22	YPR141c	84
23	YGR229c	81
24	YLR453c	80
25	YNL271c	80
26	YGL127c	79
27	YLR330w	78
28	YLR342w	78
29	YML064c	77
30	YEL061c	76
31	YPL031c	74
32	YDR388w	72
33	YCL016c	71
34	YAL013w	71
35	YNL192w	70
36	YHR030c	70
37	YLR423c	68
38	YMR078c	65
39	YDR034c	63
40	YLR085c	60
41	YDL017w	60
42	YOR326w	60
43	YBR023c	59
44	YHR191c	58
45	YCR009c	57
46	YMR263w	56
47	YDR318w	56
48	YMR307w	54
49	YJR075w	52
50	YJR022w	52
51	YNL250w	52
52	YBL026w	52
53	YMR048w	52
54	YBL061c	52
55	YPL174c	50
56	YDL029w	50
57	YKL113c	48
58	YDR363w	48
59	YBR164c	47
60	YNL322c	47
61	YJL124c	46
62	YDR150w	46
63	YJL030w	46
64	YCL029c	45
65	YDR126w	45
66	YDL049c	45
67	YGL070c	44
68	YLR229c	43
69	YLR373c	43
70	YMR294w	42
71	YBR234c	42
72	YKL190w	42
73	YGR166w	41
74	YKL002w	41
75	YJL095w	40
76	YBL007c	39
77	YGR218w	39
78	YJR043c	39
79	YJL168c	38
80	YCR077c	38
81	YDR052c	38
82	YJL020c	37
83	YOR349w	37
84	YER112w	37
85	YDR162c	36
86	YML032c	36
87	YER155c	36
88	YGL173c	35
89	YHR129c	35
90	YDR167w	35
91	YNL118c	35
92	YLR347c	35
93	YOR144c	34
94	YPR159w	34
95	YBR200w	34
96	YHR142w	34
97	YBL105c	33
98	YPL051w	33
99	YMR190c	33
100	YJL092w	33
101	YER146w	33
102	YNL273w	33
103	YOR264w	32
104	YOL006c	32
105	YOR070c	32
106	YDL153c	32
107	YMR117c	31
108	YFL037w	31
109	YPL161c	31
110	YPL008w	31
111	YDL239c	31
112	YOR047c	31
113	YIL034c	31
114	YOR058c	30
115	YIL061c	30
116	YPL070w	30
117	YCR086w	30
118	YCL061c	30
119	YLR113w	30
120	YJR057w	29
121	YBR160w	29
122	YNL092w	29
123	YLR268w	29
124	YFL039c	29
125	YOL012c	28
126	YPL241c	28
127	YJL099w	28
128	YGL086w	28
129	YDL100c	28
130	YOL069w	27
131	YNL233w	27
132	YKR054c	27
133	YPL269w	27
134	YOR269w	27
135	YML124c	26
136	YHR007c	26
137	YMR153w	25
138	YMR109w	25
139	YCL027w	25
140	YIR009w	25
141	YDR332w	25
142	YPL194w	24
143	YOL149w	24
144	YDL003w	24
145	YDR259c	24
146	YDR311w	24
147	YER118c	24
148	YMR055c	24
149	YGR103w	24
150	YDL116w	24
151	YHR041c	24
152	YGR188c	24
153	YLR291c	23
154	YDR477w	23
155	YDR378c	23
156	YDR254w	23
157	YLR234w	23
158	YBR094w	23
159	YIR038c	23
160	YER007w	23
161	YOL148c	23
162	YDR129c	23
163	YDR176w	23
164	YDL043c	23
165	YIL144w	23
166	YPL018w	23
167	YGL181w	23
168	YOR128c	23
169	YPR046w	22
170	YER111c	22
171	YDR510w	22
172	YGR252w	22
173	YBR103w	22
174	YGL216w	22
175	YGR119c	22
176	YFL008w	22
177	YLR337c	22
178	YJL013c	22
179	YHR178w	22
180	YPR119w	22
181	YLR386w	22
182	YOR181w	22
183	YHR016c	21
184	YHR066w	21
185	YGL044c	21
186	YHR107c	21
187	YEL015w	21
188	YJL062w	21
189	YDR448w	21
190	YER133w	21
191	YAL041w	21
192	YLR438c-a	21
193	YHR031c	21
194	YHL002w	21
195	YDR328c	20
196	YLR362w	20
197	YHR152w	20
198	YMR299c	20
199	YML109w	20
200	YNL236w	20
201	YMR236w	20
202	YDR392w	20
203	YDL074c	20
204	YJR053w	20
205	YDL226c	20
206	YBR270c	20
207	YMR032w	20
208	YBR061c	19
209	YKR068c	19
210	YPL155c	19
211	YER173w	19
212	YER006w	19
213	YDL030w	19
214	YDR488c	19
215	YKL079w	19
216	YKL130c	19
217	YPR154w	19
218	YER095w	19
219	YAL024c	19
220	YER149c	18
221	YDR424c	18
222	YER114c	18
223	YGL112c	18
224	YAL011w	18
225	YGR113w	18
226	YNR051c	18
227	YAL040c	18
228	YKL048c	18
229	YLR116w	18
230	YLR235c	18
231	YLR055c	18
232	YLL021w	18
233	YOL082w	18
234	YFR036w	18
235	YGL212w	18
236	YJR063w	18
237	YGR172c	18
238	YDL102w	18
239	YFR019w	18
240	YPL124w	18
241	YOL018c	17
242	YGL027c	17
243	YBR036c	17
244	YOR265w	17
245	YML077w	17
246	YBR231c	17
247	YBR229c	17
248	YML041c	17
249	YLR381w	17
250	YHR158c	17
251	YBR081c	17
252	YKR026c	17
253	YOR089c	17
254	YMR224c	17
