YAL001c YNL039w
YAL002w YLR200w
YAL002w YLR262c
YAL005c YNL064c
YAL005c YNL189w
YAL009w YDL116w
YAL011w YLR200w
YAL011w YOR269w
YAL013w YBR171w
YAL013w YDR363w-a
YAL013w YGL194c
YAL013w YGR270w
YAL013w YHR178w
YAL019w YLR262c
YAL023c YDL095w
YAL026c YKL190w
YAL030w YOR327c
YAL031c YCL027w
YAL032c YDR416w
YAL040c YBL016w
YAL040c YNL064c
YAL041w YDR264c
YAL041w YGL233w
YAL042w YDL239c
YAL045c YJR063w
YAL047c YGL212w
YAL058w YNL064c
YAL058w YOR236w
YAL060w YER081w
YAL064w YHR114w
YAR002w YCL061c
YAR002w YNL273w
YAR003w YDR363w
YAR014c YER054c
YAR014c YER133w
YAR014c YGR078c
YAR014c YNL333w
YAR018c YDL239c
YAR018c YOR167c
YAR019c YOR101w
YAR035w YGR069w
YAR035w YLR381w
YAR042w YMR047c
YAR061w YJR086w
YAR061w YMR182c
YAR064w YGL070c
YBL001c YMR060c
YBL007c YBL061c
YBL007c YGR229c
YBL007c YMR253c
YBL007c YNL094w
YBL007c YNL152w
YBL016w YDR469w
YBL016w YHR084w
YBL025w YIL141w
YBL026w YDL175c
YBL026w YGR158c
YBL026w YJL124c
YBL026w YLR039c
YBL026w YLR126c
YBL026w YMR237w
YBL026w YNL118c
YBL026w YPL119c
YBL034c YFL037w
YBL043w YBL100w-a
YBL050w YOR106w
YBL053w YPR165w
YBL061c YGR229c
YBL061c YHR107c
YBL061c YKL126w
YBL061c YLR268w
YBL066c YDR099w
YBL071c YNL261w
YBL072c YMR047c
YBL079w YOR098c
YBL081w YDL167c
YBL084c YDR118w
YBL084c YKL022c
YBL100c YJL070c
YBL105c YER111c
YBL105c YGR221c
YBL105c YHR206w
YBL106c YIL033c
YBR003w YJR022w
YBR012w-b YLR157c-a
YBR014c YBR101c
YBR014c YPR086w
YBR015c YDR388w
YBR017c YMR047c
YBR019c YHL019c
YBR021w YEL021w
YBR023c YEL044w
YBR023c YLL039c
YBR034c YGR165w
YBR034c YNL078w
YBR036c YMR296c
YBR044c YKL141w
YBR045c YER133w
YBR057c YPR141c
YBR058c YGR268c
YBR060c YLR103c
YBR061c YBR300c
YBR061c YDR461w
YBR061c YHL011c
YBR061c YHR059w
YBR073w YLR453c
YBR077c YKR007w
YBR081c YDR392w
YBR081c YGR252w
YBR082c YDR177w
YBR082c YMR078c
YBR094w YER019w
YBR094w YNL153c
YBR094w YOR001w
YBR095c YER016w
YBR098w YDR363w
YBR098w YDR369c
YBR098w YHR016c
YBR098w YLR235c
YBR101c YPL136w
YBR103w YDR227w
YBR107c YEL003w
YBR108w YGR078c
YBR108w YLR438c-a
YBR112c YMR240c
YBR114w YGR078c
YBR114w YJR052w
YBR120c YLR085c
YBR121c YHR007c
YBR122c YEL061c
YBR122c YJR091c
YBR123c YGR047c
YBR126c YGL035c
YBR126c YGL253w
YBR131w YDR150w
YBR155w YJR032w
YBR155w YJR091c
YBR160w YFL029c
YBR160w YGR274c
YBR160w YLR210w
YBR160w YMR273c
YBR162w-a YLR090w
YBR164c YDL100c
YBR164c YJR033c
YBR164c YNL296w
YBR168w YER081w
YBR171w YBR234c
YBR175w YGR249w
YBR175w YLR085c
YBR176w YGL127c
YBR188c YGL070c
YBR193c YOR174w
YBR198c YDR259c
YBR198c YML061c
YBR198c YMR236w
YBR198c YPL254w
YBR200w YFL039c
YBR200w YPL031c
YBR202w YLR103c
YBR202w YLR274w
YBR205w YPR107c
YBR207w YGR152c
YBR209w YNL192w
YBR209w YPR086w
YBR211c YKL002w
YBR213w YMR206w
YBR214w YJL124c
YBR217w YHR171w
YBR217w YLR423c
YBR229c YMR200w
YBR229c YOR070c
YBR230c YOR014w
YBR231c YER016w
YBR234c YDR310c
YBR234c YEL003w
YBR234c YER155c
YBR234c YJR117w
YBR234c YLR330w
YBR237w YDR073w
YBR241c YER081w
YBR249c YER081w
YBR255w YDR388w
YBR270c YFL047w
YBR270c YLR423c
YBR276c YNL098c
YBR278w YMR290c
YBR284w YDL238c
YBR288c YLR262c
YBR290w YML094w
YBR290w YNL153c
YCL009c YER094c
YCL010c YKL023w
YCL011c YDR120c
YCL011c YNL189w
YCL016c YER019w
YCL016c YFL037w
YCL016c YGL163c
YCL016c YPR141c
YCL025c YJL062w
YCL026c-a YCR048w
YCL027w YDL159w
YCL027w YER118c
YCL027w YIL159w
YCL027w YOR017w
YCL029c YFR019w
YCL029c YJL148w
YCL029c YML094c-a
YCL029c YNL106c
YCL029c YOR058c
YCL029c YPL124w
YCL029c YPL241c
YCL033c YKL130c
YCL038c YHR178w
YCL040w YDR516c
YCL043c YOR288c
YCL059c YGL201c
YCL061c YGL127c
YCL061c YOL012c
YCL061c YPL194w
YCR002c YLL021w
YCR002c YNL233w
YCR003w YIR039c
YCR005c YJL042w
YCR009c YDL029w
YCR009c YJR075w
YCR009c YMR109w
YCR009c YNL153c
YCR009c YPL050c
YCR020c-a YEL053c
YCR020c-a YJR022w
YCR022c YDL017w
YCR033w YGR078c
YCR036w YGL153w
YCR041w YCR065w
YCR044c YLR262c
YCR044c YOR067c
YCR052w YLR321c
YCR066w YLR262c
YCR077c YDL216c
YCR077c YDR141c
YCR077c YGR074w
YCR077c YIL154c
YCR077c YLR229c
YCR086w YGR078c
YCR086w YGR155w
YCR086w YLR103c
YCR088w YDR129c
YCR093w YIL038c
YCR094w YGL090w
YCR099c YGR203w
YDL003w YGR188c
YDL003w YPR046w
YDL005c YER022w
YDL005c YGL025c
YDL006w YKL037w
YDL012c YHR140w
YDL012c YOR355w
YDL013w YJL124c
YDL013w YJR091c
YDL013w YLR438c-a
YDL017w YJR070c
YDL017w YLR055c
YDL017w YLR235c
YDL017w YMR078c
YDL017w YOL081w
